tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
40.00;-197551632#1_0;0.20;6.25;0.00;0.00;47442743#2_0;5.10;0.00;tripinfo_0;40.00;0;0;573.47;1.06;0.00;12.74;DEFAULT_VEHTYPE;;0;0.00
64.00;47442750#2_1;41.83;22.19;18.00;0.00;490917268#1_0;5.10;0.00;tripinfo_2;46.00;2;0;789.49;1.01;0.00;10.07;DEFAULT_VEHTYPE;;0;0.00
66.00;47442750#2_1;41.83;23.66;21.00;3.00;490917268#1_0;5.10;0.00;tripinfo_2.1;45.00;2.1;0;789.49;1.08;0.00;10.95;DEFAULT_VEHTYPE;;0;0.00
66.00;-491342453_0;0.20;3.07;27.00;0.00;491337032#2_0;5.10;0.00;tripinfo_3;39.00;3;0;448.73;0.89;0.00;12.20;DEFAULT_VEHTYPE;;0;0.00
69.00;47442750#2_1;41.83;22.76;24.00;6.00;490917268#1_0;5.10;0.00;tripinfo_2.2;45.00;2.2;0;789.49;1.03;0.00;9.82;DEFAULT_VEHTYPE;;0;0.00
70.00;-491342453_0;0.20;2.93;28.00;1.00;491337032#2_0;5.10;0.00;tripinfo_3.1;42.00;3.1;0;448.73;0.94;0.00;15.98;DEFAULT_VEHTYPE;;1;1.00
73.00;-491342453_0;0.20;3.00;30.00;3.00;491337032#2_0;5.10;0.00;tripinfo_3.2;43.00;3.2;0;448.73;0.86;0.00;15.44;DEFAULT_VEHTYPE;;0;0.00
76.00;415697113#0_0;0.20;4.17;45.00;0.00;197551632#0_0;5.10;0.00;tripinfo_5;31.00;5;0;311.25;0.94;0.00;10.55;DEFAULT_VEHTYPE;;0;0.00
77.00;-491342453_0;0.20;3.11;33.00;6.00;491337032#2_0;5.10;0.00;tripinfo_3.3;44.00;3.3;0;448.73;1.09;0.00;21.49;DEFAULT_VEHTYPE;;1;1.00
79.00;415697113#0_0;0.20;3.89;48.00;3.00;197551632#0_0;5.10;0.00;tripinfo_5.1;31.00;5.1;0;311.25;0.94;0.00;10.27;DEFAULT_VEHTYPE;;0;0.00
80.00;47442750#2_1;41.83;18.14;27.00;9.00;490917268#1_0;5.10;0.00;tripinfo_2.3;53.00;2.3;0;789.49;0.83;0.00;9.22;DEFAULT_VEHTYPE;;0;0.00
80.00;-491342453_0;0.20;3.62;35.00;8.00;491337032#2_0;5.10;0.00;tripinfo_3.4;45.00;3.4;0;448.73;1.03;0.00;21.52;DEFAULT_VEHTYPE;;0;0.00
82.00;47442750#2_1;41.83;21.43;30.00;12.00;490917268#1_0;5.10;0.00;tripinfo_2.4;52.00;2.4;0;789.49;1.05;0.00;16.15;DEFAULT_VEHTYPE;;0;0.00
82.00;415697113#0_0;0.20;4.52;51.00;6.00;197551632#0_0;5.10;0.00;tripinfo_5.2;31.00;5.2;0;311.25;1.16;0.00;14.40;DEFAULT_VEHTYPE;;0;0.00
117.00;491337020#2_0;421.62;20.64;9.00;0.00;25439947#0_0;0.20;0.00;tripinfo_1;108.00;1;0;853.47;0.94;0.00;63.25;DEFAULT_VEHTYPE;;2;39.00
171.00;-29182100#0_1;0.20;9.19;36.00;0.00;415670710#3_0;0.20;0.00;tripinfo_4;135.00;4;0;1485.05;1.05;0.00;66.31;DEFAULT_VEHTYPE;;1;39.00
173.00;-29182100#0_1;0.20;9.92;38.00;2.00;415670710#3_0;0.20;0.00;tripinfo_4.1;135.00;4.1;0;1485.05;1.12;0.00;71.49;DEFAULT_VEHTYPE;;2;39.00
176.00;-29182100#0_1;0.20;8.47;42.00;6.00;415670710#3_0;0.20;0.00;tripinfo_4.2;134.00;4.2;0;1485.05;0.99;0.00;62.70;DEFAULT_VEHTYPE;;1;37.00
